round,strategy,c_loss,c_accuracy,d_accuracy
47,QFedAvg,1.253940150707583,0.5576,0.5576
48,QFedAvg,1.2595858589003357,0.5522,0.5522
49,QFedAvg,1.2513553960413872,0.5535,0.5535
50,QFedAvg,1.2443410625940636,0.5578,0.5577999999999999
51,QFedAvg,1.2375917827026754,0.562,0.562
52,QFedAvg,1.2353797894489915,0.564,0.564
53,QFedAvg,1.2282963417753388,0.5687,0.5687
54,QFedAvg,1.2260381013532229,0.5665,0.5665
55,QFedAvg,1.2297428846359253,0.5646,0.5646
56,QFedAvg,1.2219658758066878,0.5676,0.5676
57,QFedAvg,1.2154822228830071,0.5732,0.5732
58,QFedAvg,1.218014670323722,0.5712,0.5712
59,QFedAvg,1.2106893500195277,0.5731,0.5731
60,QFedAvg,1.2062654623502418,0.5767,0.5767
61,QFedAvg,1.2051839511605758,0.5773,0.5773
62,QFedAvg,1.2024709393706503,0.5794,0.5794
63,QFedAvg,1.1947241304795952,0.5798,0.5798000000000001
64,QFedAvg,1.1848488374601436,0.5808,0.5808
65,QFedAvg,1.1874309831027745,0.5801,0.5801
66,QFedAvg,1.1896359045294267,0.5789,0.5789
67,QFedAvg,1.1837908029556274,0.5848,0.5848
68,QFedAvg,1.1763922451417657,0.5851,0.5851
69,QFedAvg,1.177666560004029,0.5843,0.5842999999999999
70,QFedAvg,1.170559252364726,0.5843,0.5842999999999999
71,QFedAvg,1.175639881363398,0.5848,0.5848
72,QFedAvg,1.1752176918560946,0.5848,0.5848
73,QFedAvg,1.1701842025865483,0.5867,0.5867
74,QFedAvg,1.167053737972356,0.5875,0.5875
75,QFedAvg,1.160259827028347,0.5895,0.5895
76,QFedAvg,1.1600606101977675,0.5909,0.5909000000000001
77,QFedAvg,1.158526231216479,0.5939,0.5938999999999999
78,QFedAvg,1.159423049492172,0.5903,0.5903
79,QFedAvg,1.1589299206492267,0.5911,0.5911
80,QFedAvg,1.1570757499224025,0.5942,0.5942
81,QFedAvg,1.1557562788830529,0.5936,0.5936000000000001
82,QFedAvg,1.151749296278893,0.5953,0.5953
83,QFedAvg,1.154028227057638,0.5922,0.5922
84,QFedAvg,1.1450777476346945,0.5958,0.5958
85,QFedAvg,1.1502940247330484,0.5995,0.5995
86,QFedAvg,1.1429803952386108,0.5957,0.5956999999999999
87,QFedAvg,1.1400522627407992,0.5982,0.5982
88,QFedAvg,1.1400617270530025,0.601,0.601
89,QFedAvg,1.1406452640702454,0.6002,0.6002
90,QFedAvg,1.14248234561727,0.597,0.597
91,QFedAvg,1.1396382013453712,0.5996,0.5996
92,QFedAvg,1.1332383027559594,0.5984,0.5983999999999999
93,QFedAvg,1.1289456788497636,0.6017,0.6017
94,QFedAvg,1.130831532085998,0.6006,0.6006
95,QFedAvg,1.132416217387477,0.6028,0.6028
96,QFedAvg,1.1305217169508148,0.602,0.602
97,QFedAvg,1.124290052094037,0.6017,0.6017
98,QFedAvg,1.1188268608684782,0.6026,0.6026
99,QFedAvg,1.1192364851130714,0.6062,0.6061999999999999
100,QFedAvg,1.124113687231571,0.606,0.606
1,FaultTolerantFedAvg,2.2982931589778466,0.1027,0.1027
2,FaultTolerantFedAvg,2.2799042689649363,0.1924,0.1924
3,FaultTolerantFedAvg,2.153424178497701,0.2218,0.2217999999999999
4,FaultTolerantFedAvg,1.9785095091107523,0.2847,0.2846999999999999
5,FaultTolerantFedAvg,1.8662869024880324,0.3383,0.3383
6,FaultTolerantFedAvg,1.7774094207377371,0.3592,0.3592
7,FaultTolerantFedAvg,1.7171262185784837,0.373,0.3729999999999999
8,FaultTolerantFedAvg,1.6725914417942869,0.3897,0.3897
9,FaultTolerantFedAvg,1.636446272270589,0.4048,0.4048
10,FaultTolerantFedAvg,1.62146517898463,0.4142,0.4142
11,FaultTolerantFedAvg,1.5824918505511707,0.4303,0.4303
12,FaultTolerantFedAvg,1.564318225353579,0.4365,0.4365
13,FaultTolerantFedAvg,1.5352444739281377,0.4472,0.4472
14,FaultTolerantFedAvg,1.5092913168895097,0.4623,0.4623
15,FaultTolerantFedAvg,1.4918674366383613,0.4712,0.4712
16,FaultTolerantFedAvg,1.5047309745716144,0.4639,0.4639
17,FaultTolerantFedAvg,1.4643197919749007,0.4822,0.4821999999999999
18,FaultTolerantFedAvg,1.4399598203127897,0.4908,0.4908
19,FaultTolerantFedAvg,1.428318808350382,0.4934,0.4934
20,FaultTolerantFedAvg,1.4086260720144343,0.5012,0.5012
21,FaultTolerantFedAvg,1.3973872405064256,0.5011,0.5011
22,FaultTolerantFedAvg,1.3781336244148543,0.5108,0.5108
23,FaultTolerantFedAvg,1.36994648281532,0.5103,0.5103
24,FaultTolerantFedAvg,1.3461423237112504,0.5169,0.5169
25,FaultTolerantFedAvg,1.3407870772518689,0.5238,0.5238
26,FaultTolerantFedAvg,1.3345319274105605,0.5294,0.5294
27,FaultTolerantFedAvg,1.324984263770188,0.5294,0.5294
28,FaultTolerantFedAvg,1.303418661220164,0.5363,0.5363
29,FaultTolerantFedAvg,1.293687334543542,0.5441,0.5441
30,FaultTolerantFedAvg,1.302563262891166,0.5445,0.5445
31,FaultTolerantFedAvg,1.274888575831546,0.5503,0.5503
32,FaultTolerantFedAvg,1.3063707668570024,0.533,0.533
33,FaultTolerantFedAvg,1.2734868556638308,0.5547,0.5547000000000001
34,FaultTolerantFedAvg,1.2650193413601647,0.5502,0.5502
35,FaultTolerantFedAvg,1.251128436643866,0.5587,0.5586999999999999
36,FaultTolerantFedAvg,1.2671532012239288,0.5526,0.5526
37,FaultTolerantFedAvg,1.2459208723864978,0.5648,0.5648
38,FaultTolerantFedAvg,1.238462443593182,0.5662,0.5662
39,FaultTolerantFedAvg,1.2322384390649916,0.5649,0.5649
40,FaultTolerantFedAvg,1.2238210650938977,0.571,0.5709999999999998
41,FaultTolerantFedAvg,1.213170480879047,0.569,0.569
42,FaultTolerantFedAvg,1.219019487688813,0.57,0.57
43,FaultTolerantFedAvg,1.226179236098181,0.5664,0.5664
44,FaultTolerantFedAvg,1.2024469262436976,0.5768,0.5768
45,FaultTolerantFedAvg,1.1998367920706543,0.5761,0.5761
46,FaultTolerantFedAvg,1.2024296484416044,0.5774,0.5774
47,FaultTolerantFedAvg,1.1968090443671504,0.5771,0.5771
48,FaultTolerantFedAvg,1.1830216834816751,0.5827,0.5827
49,FaultTolerantFedAvg,1.179377421548095,0.583,0.583
50,FaultTolerantFedAvg,1.1726917201959637,0.5859,0.5859
51,FaultTolerantFedAvg,1.1745994747439517,0.5895,0.5895
52,FaultTolerantFedAvg,1.1726397238200224,0.5875,0.5875
53,FaultTolerantFedAvg,1.1624128924140449,0.5906,0.5906
54,FaultTolerantFedAvg,1.163433508027958,0.5892,0.5892
55,FaultTolerantFedAvg,1.1641565380217154,0.5877,0.5877
56,FaultTolerantFedAvg,1.1533883259266238,0.5989,0.5989
57,FaultTolerantFedAvg,1.1539747579188286,0.5973,0.5973
58,FaultTolerantFedAvg,1.1528676861449132,0.5983,0.5983
59,FaultTolerantFedAvg,1.1794237569917607,0.5935,0.5935000000000001
60,FaultTolerantFedAvg,1.1586981551556648,0.592,0.592
61,FaultTolerantFedAvg,1.145976431762116,0.599,0.599
62,FaultTolerantFedAvg,1.1460195794890198,0.5959,0.5959
63,FaultTolerantFedAvg,1.1482647287694714,0.6014,0.6014
64,FaultTolerantFedAvg,1.143883405606958,0.5962,0.5962
65,FaultTolerantFedAvg,1.1332902402817449,0.6033,0.6033
66,FaultTolerantFedAvg,1.133927531634705,0.6059,0.6059000000000001
67,FaultTolerantFedAvg,1.1257014063340198,0.605,0.6050000000000001
68,FaultTolerantFedAvg,1.130314681348921,0.609,0.609
69,FaultTolerantFedAvg,1.1218107780323754,0.6066,0.6066
70,FaultTolerantFedAvg,1.1289706592318378,0.6065,0.6065
71,FaultTolerantFedAvg,1.126917479913446,0.6099,0.6099
72,FaultTolerantFedAvg,1.121772211563738,0.61,0.61
73,FaultTolerantFedAvg,1.147751129126247,0.6017,0.6017
74,FaultTolerantFedAvg,1.128673882424077,0.6057,0.6057
75,FaultTolerantFedAvg,1.1220440298696108,0.6083,0.6083
76,FaultTolerantFedAvg,1.1120065752464006,0.6149,0.6149
77,FaultTolerantFedAvg,1.113625551326365,0.612,0.612
78,FaultTolerantFedAvg,1.1153759971449646,0.6147,0.6147
79,FaultTolerantFedAvg,1.1224806037130235,0.6107,0.6107
80,FaultTolerantFedAvg,1.1106463964981368,0.6114,0.6114
81,FaultTolerantFedAvg,1.1556909016416044,0.5957,0.5956999999999999
82,FaultTolerantFedAvg,1.1135107278823853,0.6121,0.6121
83,FaultTolerantFedAvg,1.1107421230666246,0.6147,0.6147
84,FaultTolerantFedAvg,1.1038696049134942,0.6127,0.6127
85,FaultTolerantFedAvg,1.1133732592003256,0.6119,0.6119
86,FaultTolerantFedAvg,1.1079156979729858,0.612,0.612
87,FaultTolerantFedAvg,1.115128578264502,0.6118,0.6118
88,FaultTolerantFedAvg,1.1165048947817162,0.6131,0.6131
89,FaultTolerantFedAvg,1.1196469853195965,0.612,0.612
90,FaultTolerantFedAvg,1.1121296331852295,0.6132,0.6132
91,FaultTolerantFedAvg,1.1271739277658583,0.6078,0.6078
92,FaultTolerantFedAvg,1.1136671629133104,0.6127,0.6127
93,FaultTolerantFedAvg,1.1154490550862084,0.6128,0.6128
94,FaultTolerantFedAvg,1.1274502428272102,0.6148,0.6148
95,FaultTolerantFedAvg,1.1079913656922835,0.6186,0.6186
96,FaultTolerantFedAvg,1.1175180394438249,0.615,0.615
97,FaultTolerantFedAvg,1.1100325244891494,0.6158,0.6158
98,FaultTolerantFedAvg,1.1124125258832038,0.6129,0.6129
99,FaultTolerantFedAvg,1.111166008665592,0.6187,0.6187
100,FaultTolerantFedAvg,1.1304234002209916,0.6128,0.6128
1,FedOpt,2.291508384897739,0.1362,0.1362
2,FedOpt,2.206245365022104,0.1758,0.1758
3,FedOpt,2.054636295837692,0.2587,0.2587
